date,time,test,negative,confirmed,released,deceased,real_Rt
4/22/2020,0,577959,555144,10694,8277,238,0.58
4/23/2020,0,583971,563130,10702,8411,240,0.58
4/24/2020,0,589520,569212,10708,8501,240,0.58
4/25/2020,0,595161,575184,10718,8635,240,0.58
4/26/2020,0,598285,578558,10728,8717,242,0.59
4/27/2020,0,601660,582027,10738,8764,243,0.59
4/28/2020,0,608514,588559,10752,8854,244,0.59
4/29/2020,0,614197,595129,10761,8922,246,0.59
4/30/2020,0,619881,600482,10765,9059,247,0.59
5/1/2020,0,623069,603610,10774,9072,248,0.59
5/2/2020,0,627562,608286,10780,9123,250,0.59
5/3/2020,0,630973,611592,10793,9183,250,0.75
5/4/2020,0,633921,614944,10801,9217,252,0.75
5/5/2020,0,640237,620575,10804,9283,254,0.75
5/6/2020,0,643095,624280,10806,9333,255,0.75
5/7/2020,0,649388,630149,10810,9419,256,0.75
5/8/2020,0,654863,635174,10822,9484,256,0.75
5/9/2020,0,660030,640037,10840,9568,256,0.75
5/10/2020,0,663886,642884,10874,9610,256,4.58
5/11/2020,0,668492,646661,10909,9632,256,4.58
5/12/2020,0,680890,653624,10936,9670,258,4.58
5/13/2020,0,695920,665379,10962,9695,259,4.58
5/14/2020,0,711484,679771,10991,9762,260,4.58
5/15/2020,0,726747,695854,11018,9821,260,4.58
5/16/2020,0,740645,711265,11037,9851,262,4.58
5/17/2020,0,747653,718943,11050,9888,262,3.05
5/18/2020,0,753211,726053,11065,9904,263,3.05
5/19/2020,0,765574,737571,11078,9938,263,3.05
5/20/2020,0,776433,748972,11110,10066,263,3.05
5/21/2020,0,788684,759473,11122,10135,264,3.05
5/22/2020,0,802418,770990,11142,10162,264,3.05
5/23/2020,0,814420,781686,11165,10194,266,3.05
5/24/2020,0,820289,788766,11190,10213,266,1.52
5/25/2020,0,826437,796142,11206,10226,267,1.52
5/26/2020,0,839475,806206,11225,10275,269,1.52
5/27/2020,0,852876,820550,11265,10295,269,1.52
5/28/2020,0,868666,834952,11344,10340,269,1.52
5/29/2020,0,885120,849161,11402,10363,269,1.52
5/30/2020,0,902901,865162,11441,10398,269,1.52
5/31/2020,0,910822,876060,11468,10405,270,1.3
6/1/2020,0,921391,885830,11503,10422,271,1.3
6/2/2020,0,939851,899388,11541,10446,272,1.3
6/3/2020,0,956852,917397,11590,10467,273,1.3
6/4/2020,0,973858,934030,11629,10499,273,1.3
6/5/2020,0,990960,950526,11668,10506,273,1.3
6/6/2020,0,1005305,965632,11719,10531,273,1.3
6/7/2020,0,1012769,974512,11776,10552,273,1.11
6/8/2020,0,1018214,982026,11814,10563,273,1.11
6/9/2020,0,1035997,996686,11852,10589,274,1.11
6/10/2020,0,1051972,1013847,11902,10611,276,1.11
